Vth_T ,6bit_Vth,VinDac,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50
46,0,0,465,465,466,466,465,465,466,465,466,466,466,465,465,466,466,465,466,466,465,466,466,466,466,465,466,466,466,466,466,466,466,466,466,466,466,466,465,466,465,466,466,466,465,466,466,466,466,466,466,466
47,0,0,465,466,466,466,466,466,465,466,465,465,466,466,465,465,465,465,465,466,465,465,466,466,465,466,466,466,465,465,465,466,466,465,466,465,465,466,466,465,465,466,465,466,466,466,466,465,466,466,466,466
48,0,0,466,465,466,465,466,466,466,465,466,466,466,466,465,465,466,466,465,466,466,466,466,465,466,465,466,466,465,465,466,466,465,466,465,465,466,465,466,465,465,465,466,466,466,465,466,466,466,466,466,466
49,0,0,466,465,466,465,466,465,466,466,466,465,465,466,465,466,466,465,466,466,465,466,466,466,466,466,466,466,466,465,466,466,465,466,465,466,466,465,465,465,466,465,465,466,466,465,466,465,466,465,465,465
50,0,0,465,466,466,465,465,465,465,466,466,466,465,465,466,465,465,465,466,465,466,466,466,465,465,466,465,466,465,465,465,465,465,466,466,465,466,465,466,466,465,465,466,465,465,466,465,466,466,465,466,466
51,0,0,466,465,465,465,466,465,465,466,466,465,466,465,466,465,466,465,465,466,465,466,465,466,465,466,466,466,466,466,465,466,466,465,465,465,466,466,465,466,465,465,466,466,465,465,466,465,466,466,465,466
52,0,0,466,465,465,466,466,465,466,466,466,465,466,465,465,465,465,465,465,466,466,465,466,466,465,466,466,466,465,466,465,466,466,466,465,465,466,465,466,466,466,466,465,466,466,466,465,466,466,466,466,465
53,0,0,466,466,466,465,466,465,466,465,466,466,466,466,466,465,466,465,465,466,465,466,465,466,466,466,465,466,466,466,466,466,465,466,466,465,466,466,466,466,466,466,466,465,465,465,466,465,465,466,466,466
54,0,0,465,466,466,465,465,465,466,466,465,465,466,466,465,466,465,465,466,466,466,465,466,465,466,465,465,465,466,466,466,465,465,465,465,466,466,465,466,465,465,466,465,465,465,466,465,466,466,466,465,466
55,0,0,465,466,465,466,465,466,465,466,465,466,466,466,465,465,465,465,466,466,465,466,466,466,466,466,465,465,465,466,465,466,465,466,465,465,465,466,466,466,465,465,465,466,465,466,466,466,466,465,465,465
56,0,0,466,465,465,465,466,465,466,466,465,466,466,466,466,466,465,465,466,466,466,466,465,466,465,465,465,466,466,466,466,465,466,465,466,466,466,466,465,466,466,466,466,466,466,466,466,465,465,465,465,466
57,0,0,466,466,465,465,465,465,466,466,466,465,465,465,466,466,466,466,466,465,466,466,465,465,466,466,465,465,466,465,465,466,465,466,466,466,466,465,466,466,466,466,465,465,465,465,466,466,466,466,466,465
58,0,0,466,466,466,465,466,466,466,466,466,466,466,465,465,465,466,466,465,465,465,465,466,466,466,465,466,465,465,465,466,465,466,465,466,465,465,466,465,466,465,465,466,466,466,466,465,465,466,466,465,465
