Vth_T ,6bit_Vth,VinDac,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50
181,0,0,11815,15746,23625,27559,15745,47240,35438,11815,35435,37849,7873,11813,23156,35424,23613,27558,35440,31499,27539,39375,30423,23633,15750,19685,31491,27573,35435,23630,23615,23616,23622,15743,19687,31482,30526,23622,23623,19689,23620,19687,27552,11815,15745,35439,27563,31493,23623,31490,15746,43295
182,0,0,35438,15748,23606,15734,11807,51174,35426,35417,31499,39376,31495,27560,47252,39363,43303,39363,23641,31491,39360,15753,15756,51176,35431,27558,23620,35429,15740,15750,27565,35443,43313,15749,43311,27554,31484,35436,23628,19672,39366,40583,39368,27553,15744,23633,23612,23638,19692,39358,27550,39375
183,0,0,47240,31502,15744,47244,15750,19686,47246,23607,31486,23628,39349,27566,23627,19692,31496,23629,27913,47242,23623,19694,43311,7876,23626,15748,27556,27553,40462,23632,31506,27542,35431,35432,31483,31514,35443,23625,31491,31492,19689,31491,33400,23621,15743,39350,35427,55113,39362,43318,27547,55533
184,0,0,23634,31484,43317,27558,23619,39378,35428,27557,11806,15742,23597,23620,11809,43311,35437,39144,39378,31497,27567,48633,31502,39388,27554,39353,39360,29536,23634,19680,39369,27553,15746,19686,15746,43290,35452,31505,51163,44654,35426,27561,27555,39367,11805,39364,27562,39388,27558,23624,27555,35425
185,0,0,35432,11803,27559,19677,23627,27572,31504,39370,35423,19689,35048,39371,39359,35429,31490,27559,43301,27547,19676,27558,27547,39372,31485,43313,19682,19686,43314,35433,66943,29146,23626,27566,23607,27552,27556,27560,27557,39380,43293,55120,43302,35437,39376,31478,39357,43317,39372,19688,23619,39372
186,0,0,47241,43309,15751,35443,35440,31495,31488,43295,35422,27542,35435,27565,27563,55118,7878,39372,39361,31505,55128,55115,31507,23614,23634,31500,47231,51166,31484,31502,43300,55110,39359,51167,58462,39374,47250,35452,31485,51168,47224,31480,23623,27544,32343,15753,27568,23614,43303,34311,39368,31492
187,0,0,7869,31489,34484,31493,27565,51181,35437,35433,23628,43295,31511,39356,33708,51173,11813,31477,23615,51175,27555,19674,19687,31515,31494,39366,27562,47250,43315,31515,31480,62997,47238,47238,39368,31493,47258,27565,43289,31481,47218,27551,47228,27548,23635,39358,31491,31499,51178,35577,19680,23623
188,0,0,43292,35444,23622,27552,35438,39345,23619,39372,41880,43316,31510,35419,55105,43303,66240,35443,55085,39358,31496,15751,31491,43301,43284,62989,51178,47251,39356,53335,39352,43306,23616,27562,31513,31497,43298,39093,59060,31497,23621,70849,31498,47235,19687,31498,55118,11807,51177,23622,43295,27559
189,0,0,51175,35434,27555,35444,51184,47226,43308,27559,31498,43308,19679,7877,35446,43311,27551,31487,55117,59064,47245,39356,47238,31493,35416,49388,43314,51182,59039,43287,15754,51178,23617,39372,43308,25102,27567,51159,34477,47225,31497,27542,39374,59063,35420,19672,51173,47233,27554,27548,47237,43314
190,0,0,51186,51175,47208,55110,43309,51178,47240,59050,35412,35432,35430,55112,47229,31488,43282,47234,51172,59030,43306,39370,43298,43320,51173,39381,51182,35423,31494,51193,59047,39354,39375,23628,31500,51177,20754,47259,39380,70890,55124,37225,47245,43292,57992,74803,39379,27545,27559,47251,39370,23616
191,0,0,23617,31491,55120,47231,35416,54503,39381,55114,46391,47238,60503,55100,45789,23607,31498,31496,55123,43316,55106,39366,51157,55117,39347,27557,47241,27546,55118,41238,55134,31499,51183,43313,51182,55104,31510,59066,47237,51189,27563,59048,47249,62988,31506,35429,86625,31499,55095,59037,31493,39375
192,0,0,35447,66937,31488,70851,43291,59063,55107,47225,51175,27553,39353,43630,43303,39354,51165,47240,62998,43301,55114,47239,51170,39365,47232,47252,35420,45672,55135,31505,59062,47248,47247,64889,50503,47244,51181,35398,25708,55120,39369,51176,55112,23620,78743,43315,35432,55123,61742,62987,51186,35426
