Vth_T ,6bit_Vth,VinDac,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50,#51,#52,#53,#54,#55,#56,#57,#58,#59,#60,#61,#62,#63,#64,#65,#66,#67,#68,#69,#70,#71,#72,#73,#74,#75,#76,#77,#78,#79,#80,#81,#82,#83,#84,#85,#86,#87,#88,#89,#90,#91,#92,#93,#94,#95,#96,#97,#98,#99,#100
317,0,0,634918,685634,605805,653909,591756,625472,629116,622764,666642,679463,667470,674155,644135,634896,665606,617266,651254,648526,626057,627271,650560,678073,634102,654161,630240,656429,645252,668963,614388,686247,668357,646454,627378,639680,632268,595170,663622,619323,612078,666852,666097,649429,667785,612564,668151,660793,596694,670336,610176,629485,639365,640618,642807,648123,666538,660376,635009,634109,642171,631341,686256,639382,614259,644458,659881,660716,637522,684586,664922,639363,631164,627833,600963,643177,642958,654750,656775,671010,631307,645377,623591,596035,684264,612213,636773,654045,624893,659866,688975,625350,654112,613991,641754,633314,629415,653687,647952,655358,585880,661586
318,0,0,716560,667431,685136,729861,674903,687082,736221,700919,665249,690407,680508,704851,708022,645919,675978,702388,648704,678501,690032,668408,667869,664993,683391,701022,677918,639849,720281,694537,675336,670606,678042,682331,735216,684561,663519,704384,674443,716290,653031,696928,664962,712438,648792,657163,681885,719102,675987,685296,653334,651479,713017,688559,709013,711052,708582,699000,662345,687957,682580,661072,675893,636162,668264,681750,691223,669263,691598,663612,699014,704825,648601,700076,634735,669341,706188,687797,665195,717255,701079,720491,631033,672211,677953,623031,661297,709182,698719,652819,632124,693036,692052,687805,671346,670273,672961,679106,630607,668127,689322,663884
319,0,0,738301,713286,689638,717211,662837,717349,705041,661824,763595,734360,750443,722002,712108,718659,717078,707526,725508,734415,705689,723153,674453,738404,703430,715315,710065,680759,711819,699730,674751,743901,701731,735067,698385,651183,702431,714192,721265,685942,705911,688100,731569,723455,731448,729225,728166,721564,640473,709314,733530,701707,704029,687048,733719,702578,696975,698119,726919,742680,708846,756287,705849,730621,680083,731401,719498,706876,697398,691960,729524,692453,724889,681876,693490,722863,684568,732425,700979,702189,719512,726535,719406,703502,741311,717481,725704,726557,716291,685524,662673,743488,683675,707406,715062,691577,765192,698784,696872,738293,733046,726800
320,0,0,786681,764737,775802,769283,780815,771704,782690,780941,790420,766309,788134,793746,761966,744110,806364,788812,738342,765897,769698,751345,756834,776546,769269,780593,769976,751674,761512,775314,805759,786543,802519,776562,777013,776677,736632,754312,764097,746337,771181,759002,778422,770280,766884,766457,755512,763162,785485,765543,749580,777794,758062,762171,743067,768010,771262,757381,769825,788980,731766,749725,780401,731870,770236,760468,753257,784850,768113,792288,737037,764776,750527,770143,776226,775252,773913,772228,773651,763140,766761,759605,717040,772717,764320,749202,780848,775726,769701,750304,782972,809124,774222,763832,808847,784088,747404,760166,770963,792367,777846,789390
321,0,0,776499,791798,782378,790619,820164,768256,769129,795586,822921,781192,779330,783686,822535,811158,808393,822376,783531,815252,802782,769349,806143,775716,783435,769608,796855,810222,805974,802511,820727,793698,804920,771996,790102,801408,798087,783477,812477,790405,788023,795147,769264,773498,780617,796555,788301,797957,811624,778226,791753,784219,754884,794739,777306,798579,809459,807402,801378,795428,788474,770139,773582,780078,808636,788473,824846,797947,782932,797945,781682,795533,796891,796137,779850,805971,786397,803855,794051,794780,766578,797874,785752,762353,777559,782125,784560,809908,781758,809449,780608,809798,786193,761882,766241,769841,798726,783527,820922,771638,796028,791744
322,0,0,809992,808995,814987,814018,786261,808245,805666,835193,815125,809570,765876,822224,825777,816183,815351,798922,812420,823972,790568,812657,804339,826418,803464,808303,783784,800727,812868,813975,824919,806946,812997,810129,825599,818538,794767,815915,797419,798041,805988,805202,806774,826132,811469,807925,810435,802317,798370,823412,823215,785246,823636,830230,812174,803987,808383,844401,816829,822444,811191,811332,824747,808807,821290,803403,822474,814368,805003,811817,824228,812986,818058,792287,814185,810328,806216,805687,818341,815624,797381,798214,815243,798547,793777,797050,799065,805823,812814,822964,813418,816383,814175,828360,782003,790609,824376,818770,810431,818005,813371,820355
323,0,0,834649,829696,811729,812463,834158,831814,834751,837458,816690,809234,799080,828745,824037,834368,824643,809585,822888,824817,811621,840015,802838,825018,821902,818172,808852,829009,822618,821262,809657,822474,796415,803236,808653,831196,836489,820798,833742,838461,832854,839154,831292,824178,834341,807499,841326,820857,836911,843036,830949,792968,827302,836896,832166,808254,834126,819968,831783,820329,812182,828198,817816,829189,818479,845757,820023,838474,843895,830254,809412,795100,815069,822024,825530,826085,822545,817156,831810,836568,820156,837265,822545,828247,815680,827412,836275,862430,834977,847658,811126,817072,807572,804993,802742,826696,830078,843461,804074,845903,812931,829974
324,0,0,824399,845662,845200,829975,828649,837651,849543,840721,832747,853983,851489,857811,840603,837957,847408,819095,844270,828917,809020,844544,839853,839529,842906,848976,842077,858483,825632,829609,839927,829738,835479,837584,858963,835819,849815,848526,830331,832378,824634,819618,838616,829670,846190,833927,823859,841561,826990,845506,835274,812509,812420,819093,858004,848650,836653,821724,833151,822071,841968,835501,849222,836886,858383,823289,824386,821047,840493,822848,816163,832457,821591,832469,838033,837886,835770,829112,841703,832446,832275,844570,835254,827296,829342,833039,828948,838248,817849,839098,830309,817040,823535,838016,829127,845241,830153,858365,830483,852087,823028,847069
325,0,0,843323,839714,863563,866193,818454,862733,862882,834199,827037,839005,839447,848870,855422,847311,852536,843537,831536,842146,851357,828221,849013,839557,851605,849980,835063,855411,858788,856328,832144,849709,835615,869815,822844,848473,831614,854856,848793,839569,847769,842869,863490,839365,856916,840962,858483,838640,832797,834388,850150,843618,850491,840153,847561,844335,861145,844809,845109,846432,836298,836020,860546,852229,846825,853009,845776,861541,851203,854544,853710,849475,858500,838226,857090,838324,849712,851140,856427,855168,851994,841001,832156,835879,850935,837718,855799,848675,846962,842462,858701,861540,861387,835279,818824,827095,864917,865634,833186,848968,852793,822186
326,0,0,861980,848803,849613,845934,849254,865255,855022,857653,857920,858773,856915,873058,869948,852848,876315,875108,831937,833160,847712,864866,851722,850241,862367,854994,840863,856479,847485,853337,847419,860364,858702,875570,848053,871064,853058,877668,843282,849864,863200,852043,882268,850845,856139,840755,860848,860794,854295,861115,848970,865964,865245,845681,859050,875989,848995,862224,853361,828862,869222,874347,850169,850396,849742,860454,849639,875347,866581,849349,865261,871655,842954,868316,862391,863788,859199,869485,870445,863078,854282,866246,842715,857971,869892,856477,848672,857226,873908,856615,852037,837223,882274,870779,870909,854629,865610,852942,868103,844961,881994,852611
327,0,0,889185,866328,879229,868150,867245,860934,866226,869287,872435,871792,870398,868520,859361,871322,862688,868821,860625,875505,883796,866691,861185,863214,863843,863773,860134,880737,873691,867148,869461,887573,863835,855143,861977,874217,872377,853227,845239,881367,873631,881785,878568,861870,858004,880834,868330,860207,874900,865042,865278,873680,856154,867428,857553,844467,873376,864647,882218,873785,868144,867355,877577,871541,865950,860281,859683,880499,866886,876905,856347,871056,860842,866623,870892,868927,878531,890786,875478,856973,847532,868177,889000,857485,881982,876203,882030,872636,870420,861062,859658,856898,873136,881245,883776,856885,868176,859853,870227,868935,849367,872343
